Belligerents.allies,Belligerents.axis,Casualties and losses.allies,Casualties and losses.axis,Commanders and leaders.allies,Commanders and leaders.axis,Date,Location,Result,Strength.allies,Strength.axis,Territorial,level,name,parent,time,url
United States,Japan,"6,677 killed 2,101 wounded U.S. Marine Corps : 1,009 killed [2] 2,101 wounded [2] U.S. Navy : 1 escort carrier sunk  ( USS  Liscome Bay ) 687 killed [2]","4,690 killed 17 soldiers captured 129 laborers captured 14 tanks destroyed",U.S. Navy : Raym. A. Spruance Richmond K. Turner Harry W. Hill U.S. Marine Corps : Holland M. Smith Julian C. Smith Leo D. Hermle Merritt A. Edson David M. Shoup,Keiji Shibazaki   †,20–23 November 1943,"Betio Island, Tarawa Atoll, Gilbert Islands",U.S. victory,"35,000 troops 18,000 Marines [1] 5 escort carriers 3 old battleships 2 heavy cruisers 2 light cruisers 22 destroyers 2 minesweepers 18 transports & landing ships","2,636 troops 2,200 construction laborers  (1,200 Korean and 1,000 Japanese) 14 tanks 40 artillery pieces 14 naval guns",,100,Battle of Tarawa,Gilbert and Marshall Islands campaign,", November 1943",https://en.wikipedia.org/wiki/Battle_of_Tarawa
United States,Japan,Kwajalein : 142 killed 845 wounded 2 missing Roi-Namur : 206 killed 617 wounded 181 missing [1] : 88,"Kwajalein : 4,300 killed 166 captured Roi-Namur : 3,500 killed 87 captured [1] : 88",Richmond K. Turner (USN) Holland M. Smith (USMC) Harry Schmidt (USMC) Charles H. Corlett (USA) Thomas E. Watson (USMC),Monzo Akiyama   † Masami Kobayashi Yamada Michiyuki  † Yoshimi Nishida   †,31 January–3 February 1944,"Kwajalein Atoll, Marshall Islands",U.S. victory,"46,670 [1] : 27–28","Kwajalein : about 5,000 Roi-Namur : about 3,000 [1] : 31",,100,Battle of Kwajalein,Gilbert and Marshall Islands campaign,", February 1944",https://en.wikipedia.org/wiki/Battle_of_Kwajalein
United States,Japan,313 killed 77 missing 879 wounded [1] : 88,"3,380 killed 144 captured [1] : 88 1 naval gun destroyed",Harry W. Hill John T. Walker Thomas E. Watson,Yoshimi Nishida   †,17 February – 23 February 1944,"Eniwetok Atoll, Marshall Islands",United States victory,"2 regiments
 
 22nd Marine Regiment 
 106th Infantry Regiment","3,500 [1] : 32 9 light tanks 3 anti-tank guns 3 naval guns 4 mountain guns",,100,Battle of Eniwetok,Gilbert and Marshall Islands campaign,", February 1944",https://en.wikipedia.org/wiki/Battle_of_Eniwetok
United States,Japan,"est. 5,100 dead or missing, 6,700 wounded","est. 21,000 dead, 375 captured",Navy:   Chester W. Nimitz   Richmond K. Turner   Marc A. Mitscher   Harry W. Hill Marine Corps:   Holland M. Smith   Thomas E. Watson Army:   Ralph C. Smith,Navy:   Kōsō Abe   Keiji Shibazaki   †   Monzo Akiyama   †   Chūichi Hara Army:   Yoshimi Nishida   †,November 1943 – February 1944,"Gilbert and Marshall Islands, Pacific Ocean",U.S. victory,,,,1,Gilbert and Marshall Islands campaign,Pacific Theatre,", November 1943 – February 1944",https://en.wikipedia.org/wiki/Gilbert_and_Marshall_Islands_campaign
United States,Japan,"13,790 casualties: 3,426 killed and missing [2] : 379 10,364 wounded [3]","29,000 casualties: [4] 24,000 KIA 5,000 suicides",Richmond K. Turner Holland Smith,Yoshitsugu Saitō   † Chūichi Nagumo   † Takeo Takagi   † Matsuji Ijuin   †,"15 June – 9 July 1944(3 weeks, 3 days)","Saipan, Mariana Islands",American victory,"71,000","32,000 [1] : 563",,100,Battle of Saipan,Mariana and Palau Islands campaign,", June 1944",https://en.wikipedia.org/wiki/Battle_of_Saipan
United States,Japan,1 battleship damaged  123 aircraft destroyed [2]   109 dead,"3 fleet carriers sunk  2 oilers sunk  550–645 aircraft destroyed [2]   6 other ships damaged  2,987 dead (estimate)",Raymond A. Spruance     Marc A. Mitscher,Jisaburō Ozawa     Kakuji Kakuta,"June 19–20, 1944",The Philippine Sea,American victory[1],7  fleet carriers   8  light carriers   7  battleships   8  heavy cruisers   13  light cruisers   68  destroyers   28  submarines   ~900 carrier aircraft,5 fleet carriers  4 light carriers  5 battleships  11 heavy cruisers  2 light cruisers  31 destroyers  24 submarines  6  oilers   ~450 carrier aircraft  ~300 land-based aircraft,,100,Battle of the Philippine Sea,Mariana and Palau Islands campaign,", June 1944",https://en.wikipedia.org/wiki/Battle_of_the_Philippine_Sea
United States,Japan,"3,000 killed 7,122 wounded [3]","18,000 killed 485 captured [3]",Roy Geiger Richmond K. Turner Holland Smith Allen H. Turnage Andrew D. Bruce,Takeshi Takashina   † Hideyoshi Obata   †,21 July – 10 August 1944 (1944-07-21 – 1944-08-10),"Guam, Mariana Islands",American victory,"59,401 [1]","18,657 [1] 40 tanks [2]",,100,Battle of Guam (1944),Mariana and Palau Islands campaign,", July – August 1944",https://en.wikipedia.org/wiki/Battle_of_Guam_(1944)
United States,Japan,"326 killed 1,593 wounded [1] : 88","5,542 killed 252 captured Remainder (2,265) missing [1] : 88",Harry Schmidt   Richmond K. Turner   Thomas E. Watson   Clifton B. Cates,Kiyochi Ogata   †     Kakuji Kakuta   †   Goichi Oya   †,24 July – 1 August 1944,"Tinian, Mariana Islands",American victory,"41,364 Marines [1] : 34","8,039 [1] : 89",,100,Battle of Tinian,Mariana and Palau Islands campaign,", July – August 1944",https://en.wikipedia.org/wiki/Battle_of_Tinian
United States,Japan,"10,786 2,336 killed 8,450 wounded [3]","10,897 10,695 killed 202 captured  (183 foreign laborers, 19 Japanese soldiers) [1] : 89 [3] 17 tanks lost",William H. Rupertus   Paul J. Mueller   Roy S. Geiger   Herman H. Hanneken   Harold D. Harris   Lewis B. Puller,Kunio Nakagawa   †   Sadae Inoue,"15 September – 27 November 1944(2 months, 1 week and 5 days)","Peleliu, Palau Islands7°00′N 134°15′E﻿ / ﻿7.000°N 134.250°E﻿ / 7.000; 134.250Coordinates: 7°00′N 134°15′E﻿ / ﻿7.000°N 134.250°E﻿ / 7.000; 134.250",American victory,"47,561 [1] : 36","10,900 [1] : 37 17  tanks [2]",,100,Battle of Peleliu,Mariana and Palau Islands campaign,", September – November 1944",https://en.wikipedia.org/wiki/Battle_of_Peleliu
United States,Japan,"260 killed 1,354 wounded [1] : 89","1,350 killed 50 captured [1] : 89",Paul J. Mueller,Ushio Goto  †     Sadae Inoue,17 September–22 October 1944,"Angaur, Palau Islands",American victory,"10,000","1,400 [1] : 89",,100,Battle of Angaur,Mariana and Palau Islands campaign,", September – October 1944",https://en.wikipedia.org/wiki/Battle_of_Angaur
United States,Japan,"8,125 killed and missing","67,000+ killed",Chester Nimitz Raymond A. Spruance Richmond K. Turner Holland Smith Roy Geiger Harry Schmidt William H. Rupertus Paul J. Mueller,Yoshitsugu Saito   † Chuichi Nagumo   † Jisaburō Ozawa Kakuji Kakuta   † Takeshi Takashina   † Hideyoshi Obata   † Kiyochi Ogata   † Sadae Inoue Kunio Nakagawa   †,June – November 1944,"Mariana and Palau Islands, Pacific Ocean",U.S. victory,"128,000   600+ ships","71,000",,1,Mariana and Palau Islands campaign,Pacific Theatre,", June – November 1944",https://en.wikipedia.org/wiki/Mariana_and_Palau_Islands_campaign
United States   Australia   Netherlands,Japan,66 killed/missing; 343 wounded,"~1,714 killed; 186 prisoners",Walter Krueger   Edwin D. Patrick  (land)   Russell S. Berkey  (naval)   Frederick Scherger  (air),Suesada Shimizu,2 July – 31 August 1944,Dutch New Guinea,Allied victory,"10,000","2,000 (US estimates)",,100,Battle of Noemfoor,Pacific Theatre,July–August 1944,https://en.wikipedia.org/wiki/Battle_of_Noemfoor
United States   Australia   Netherlands   United Kingdom,Japan,,,Clarence Martin (land) Daniel E. Barbey  (naval),"Takenobu Kawashima (initial commander) 
 
Kisou Ouchi  ( POW ) (from 12 October) [1]","15 September – 4 October 1944 (initial period), intermittent fighting continued until the end of the war","Morotai, off North Halmahera, Maluku Islands",Allied victory,"57,020 (initial force)","~500 at the time of the Allied invasion, later reinforced",,100,Battle of Morotai,Pacific Theatre,September–October 1944,https://en.wikipedia.org/wiki/Battle_of_Morotai
"Allies   United States 
 
   Commonwealth of the Philippines 
   Australia [1]","Axis   Japan 
 
   Second Philippine Republic","USA : [2] : 337    3,504 killed   11,991 wounded   89 missing","49,000 dead [9]  (80% from starvation or disease) [10]",Army:   Douglas MacArthur   Walter Krueger   Franklin C. Sibert   John R. Hodge Navy:   Thomas C. Kinkaid Army Air Force:   George C. Kenney Civilian  Government :   Sergio Osmeña,Army:   Tomoyuki Yamashita   Sōsaku Suzuki   Shiro Makino   † [3]    Tsunehiro Shirai  † [4]    Yoshimi Adachi  † [5]  Kyoji Tominaga [2] : 39,17 October – 26 December 1944 (Initial phase involving Sixth Army) guerrilla phase under Eighth Army continued until March 1945[2]:324,"Leyte Island, Philippines11°10′20″N 125°00′44″E﻿ / ﻿11.17222°N 125.01222°E﻿ / 11.17222; 125.01222Coordinates: 11°10′20″N 125°00′44″E﻿ / ﻿11.17222°N 125.01222°E﻿ / 11.17222; 125.01222",Allied victory,"Sixth Army:  ≈200,000  Air and naval forces: ≈120,000 [2] : 324  3,000  guerrillas","65,000 for Sixth Army phase [6] 41 tanks [7]  20,000 during Eighth Army's phase [8]",,100,Battle of Leyte,Philippines Campaign (1944–45),October–December 1944,https://en.wikipedia.org/wiki/Battle_of_Leyte
United States,Japan,"2 escort carriers sunk 2 destroyers sunk 1 destroyer escort sunk  23 aircraft lost 4 escort carriers damaged   1 destroyer damaged   2 destroyer escorts damaged   1,583 killed and missing 913 wounded",3 heavy cruisers sunk 3 heavy cruisers damaged 1 destroyer damaged 52 aircraft [1],Clifton Sprague,Takeo Kurita,"October 25, 1944",East of Samar Island,American victory,"""Taffy 3"" 6  escort carriers , 3  destroyers , 4  destroyer escorts , 400 aircraft from Taffy 1, 2, and 3","Center Force ""A"" 4  battleships , 6  heavy cruisers , 2  light cruisers , 11 destroyers,  30 aircraft (in  kamikaze  attack)",,100,Battle off Samar,Battle of Leyte Gulf,25 October 1944,https://en.wikipedia.org/wiki/Battle_off_Samar
United States   Australia,Japan,"~3,000 casualties;  1 light carrier, 2 escort carriers,  2 destroyers,  1 destroyer escort sunk   200+ planes","~12,500 casualties;  1 fleet carrier,  3 light carriers 3 battleships,  10 cruisers,  11 destroyers sunk   ~300 planes [3]",William Halsey ( 3rd Fleet )   Thomas Kinkaid ( 7th Fleet )   Clifton Sprague (Taffy 3 / Task Unit 77.4.3)   Jesse Oldendorf  (Task Group 77.2)   John Collins ( Task Force 74 ),Takeo Kurita (Center Force)   Shōji Nishimura   † (Southern Force)   Kiyohide Shima   (Southern Force)   Jisaburō Ozawa   (Northern Force)     Yukio Seki   † ( Kamikazes ),23–26 October 1944,"Leyte Gulf, Philippines",Allied victory,"~300 ships in total [1] 8  fleet carriers 8  light carriers 18  escort carriers 12  battleships 24  cruisers 166  destroyers  and  destroyer escorts Many  PT boats ,  submarines , and fleet auxiliaries About 1,500  planes",67+ ships in total 1 fleet carrier 3 light carriers 2  hybrid-carriers/battleships 7 battleships 14  heavy cruisers 6  light cruisers 35+ destroyers 300+ planes (including land-based aircraft) [2],,3,Battle of Leyte Gulf,Philippines Campaign (1944–45),October 1944,https://en.wikipedia.org/wiki/Battle_of_Leyte_Gulf
"United States 
 
   Commonwealth of the Philippines 
   Australia     Mexico [1]","Japan 
 
   Second Philippine Republic","47,190 [a] (10,380 killed, 36,550 wounded, 260 died of disease) [6]","214,585 (205,535 dead (mostly from diseases and starvation), 9,050 captured)  232 tanks lost","Douglas MacArthur   Walter Krueger   Sergio Osmeña   Basilio J. Valdes 
 
 
   Russell Volckmann   Edwin Ramsey   Edwin Davies Patrick    † [2]   James Dalton II    † [3]   Marcos V. Agustin   Terry Adevoso   Robert Lapham   Luis Taruc",Tomoyuki Yamashita   Akira Mutō   Shizuo Yokoyama,"January 9, 1945 – August 15, 1945","Luzon, Philippines",Allied victory,"280,000 [4]","275,000 [4] 232 tanks [5]",Allies liberate the Luzon island group,100,Battle of Luzon,Philippines Campaign (1944–45),January–August 1945,https://en.wikipedia.org/wiki/Battle_of_Luzon
"United States 
 
   Commonwealth of the Philippines","Japan 
 
   Second Philippine Republic","1,010 killed 5,565 wounded [1] : 195","16,665 killed (counted dead) [1] : 174",Douglas MacArthur   Oscar Griswold   Robert S. Beightler  Verne D. Mudge   Joseph M. Swing   Alfredo M. Santos,Sanji Iwabuchi   †,3 February – 3 March 1945,"Manila, Philippines14°35′N 120°58′E﻿ / ﻿14.583°N 120.967°E﻿ / 14.583; 120.967Coordinates: 14°35′N 120°58′E﻿ / ﻿14.583°N 120.967°E﻿ / 14.583; 120.967","Allied victory

End of the Japanese military rule
Restoration of the Philippine Commonwealth
Breakdown of Axis forces in the Philippines","35,000 US troops 3,000 Filipino guerrillas","12,500 sailors and marines 4,500 soldiers [1] : 73",,100,Battle of Manila (1945),Philippines Campaign (1944–45),February–March 1945,https://en.wikipedia.org/wiki/Battle_of_Manila_(1945)
"United States 
 
   Commonwealth of the Philippines 
   Australia   (Air and Naval support)   Mexico   (Air support)","Japan 
 
   Second Philippine Republic","American 
 Manpower: 
 
 Army:  16,043 dead and missing, 55,531 wounded [nb 1] 
 Navy:  7,270+ dead and wounded [nb 2] 
 Tens of thousands hospitalized due to disease [11] 
 3 Mexican air men dead in combat 
(79 Mexican guerillas dead)
Total:  79,104+  dead and wounded
 Material: 
 33+ ships sunk 
95+ ships damaged 
485+ aircraft [9] [12] 
   Filipino 
 
Unknown, but high [13]","Japanese 
 Manpower: 
419,912 dead, missing or holding out [14]  and 10,000 casualties in Leyte Gulf. [15] (80% from starvation or disease) [16] 
 Material: 
 
93+ ships sunk 1,300 aircraft [9] [12]","Douglas MacArthur   Sergio Osmeña 
 
 
   Chester W. Nimitz   Walter Krueger   Robert Eichelberger   William Halsey, Jr.   Thomas C. Kinkaid   George C. Kenney   Basilio J. Valdes","Tomoyuki Yamashita   José P. Laurel 
 
 
   Akira Mutō   Shigenori Kuroda   Sōsaku Suzuki   †   Soemu Toyoda   Takeo Kurita   Jisaburō Ozawa   Sanji Iwabuchi   †","October 20, 1944 – September 2, 1945",Philippines,Allied victory,"1,250,000  260,715 (1945) [2]","529,802 [3]  approx. 36,000 [4] [5]","Second Philippine Republic deposed
Liberation of the Philippines from Japan
Restoration of the Commonwealth
Later, the establishment of the Third Philippine Republic (1946)",1,Philippines Campaign (1944–45),Pacific Theatre,October 1944 – September 1945,https://en.wikipedia.org/wiki/Philippines_Campaign_(1944%E2%80%9345)
United States,Japan,"26,040 total casualties 6,821 killed 2 captured but recovered [4] 19,217 wounded [1] 1 escort carrier  sunk 1 fleet carrier  severely damaged 1 escort carrier  lightly damaged","17,845–18,375 dead and missing [1] 216 taken prisoner [1] 
 
~3,000 in hiding [5]",U.S. Navy: Chester W. Nimitz Raymond A. Spruance Marc A. Mitscher William H.P. Blandy U.S. Marine Corps: Holland M. Smith Harry Schmidt Graves B. Erskine Clifton B. Cates Keller E. Rockey,Tadamichi Kuribayashi   † Takeichi Nishi   † Senda Sadasue   † Rinosuke Ichimaru   †,19 February – 26 March 1945(1 month and 1 week),"Iwo Jima, Volcano Islands",American victory,"110,000  U.S. Marines ,  U.S. Soldiers ,  U.S. Navy   corpsmen ,  Seabees ,   USAAF  personnel, and others 500+ ships","20,530–21,060 troops [1] 23 tanks [2] 438 artillery pieces 33 naval guns 69 anti-tank guns ~300 anti-aircraft guns [3]",,100,Battle of Iwo Jima,Pacific Theatre,February–March 1945,https://en.wikipedia.org/wiki/Battle_of_Iwo_Jima
Ground Forces:   United States  Naval Support:   United States   United Kingdom   Canada   New Zealand   Australia,Japan,"American 
 Personnel: 14,009 dead [5]  to 20,195 dead [6] [7] [8] 
 
 12,520 killed in action [9] 
38,000 wounded [10]  to 55,162 wounded [6] [7] [11] Materiel :  221 Tanks destroyed [12] 12 destroyers sunk 15 amphibious ships sunk 9 other ships sunk 386 ships damaged 763 [13] –768 [14]  aircraft","Japanese 
 Personnel: From 77,166 killed [15]  to 110,000 killed (US estimate) [16] More than 7,000 captured [16] Materiel:  1 battleship sunk 1 light cruiser sunk 5 destroyers sunk 9 other warships sunk 1,430 aircraft lost [17] 27 tanks destroyed 743–1,712 artillery pieces, anti-tank guns, and anti-aircraft guns [18]","Simon Bolivar Buckner, Jr.   †   Joseph Stilwell   Roy Geiger   Claudius Miller Easley   †   Chester W. Nimitz   Raymond A. Spruance   William Halsey, Jr.",Mitsuru Ushijima   †   Isamu Chō   †   Minoru Ōta   †   Seiichi Itō   †   Hiromichi Yahara   ( POW ),"April 1 – June 22, 1945[1](2 months and 3 weeks)","Okinawa, Ryukyu Islands, Japan26°30′N 128°00′E﻿ / ﻿26.5°N 128°E﻿ / 26.5; 128Coordinates: 26°30′N 128°00′E﻿ / ﻿26.5°N 128°E﻿ / 26.5; 128",Allied victory,"541,000 in Tenth Army  183,000 combat troops [2]  rising to c. 250,000 [3]","76,000 Japanese soldiers, 20,000 Okinawan conscripts [4]",Okinawa occupied by the US until 1972,100,Battle of Okinawa,Pacific Theatre,April–June 1945,https://en.wikipedia.org/wiki/Battle_of_Okinawa
Australia   United States   Netherlands   United Kingdom,Japan,,,,,1–21 July 1945,"Balikpapan, Netherlands East Indies",Allied victory,,,,100,Battle of Balikpapan (1945),Pacific Theatre,July 1945,https://en.wikipedia.org/wiki/Battle_of_Balikpapan_(1945)
