,address_type,agency,agency_name,bbl,borough,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,latitude,location,location_type,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,status,street_name,taxi_pick_up_location,unique_key,x_coordinate_state_plane,y_coordinate_state_plane
104,,NYPD,New York City Police Department,3019820069,BROOKLYN,BROOKLYN,,02 BROOKLYN,Noise - Street/Sidewalk,2019-07-24T01:01:29.000,GATES AVENUE,PUTNAM AVENUE,Loud Music/Party,,90 DOWNING STREET,11238,GATES AVENUE,PUTNAM AVENUE,DOWNING STREET,40.683342674459816,"{'type': 'Point', 'coordinates': [-73.960836502169, 40.68334267446]}",Street/Sidewalk,-73.9608365021689,MOBILE,BROOKLYN,Unspecified,,,In Progress,DOWNING STREET,,43356218,995112,188239
105,,NYPD,New York City Police Department,4012590016,QUEENS,JACKSON HEIGHTS,,03 QUEENS,Illegal Parking,2019-07-24T01:02:27.000,34 AVENUE,35 AVENUE,Blocked Hydrant,,34-22 73 STREET,11372,34 AVENUE,35 AVENUE,73 STREET,40.752080828305154,"{'type': 'Point', 'coordinates': [-73.893270203565, 40.752080828305]}",Street/Sidewalk,-73.89327020356538,MOBILE,QUEENS,Unspecified,,,In Progress,73 STREET,,43355298,1013821,213298
106,,DOT,Department of Transportation,3031710013,BROOKLYN,BROOKLYN,,04 BROOKLYN,Sidewalk Condition,2019-07-24T01:03:03.000,STANWIX STREET,EVERGREEN AVENUE,Broken Sidewalk,,48 JEFFERSON STREET,11206,STANWIX STREET,EVERGREEN AVENUE,JEFFERSON STREET,40.698645783803244,"{'type': 'Point', 'coordinates': [-73.933227890878, 40.698645783803]}",Sidewalk,-73.93322789087821,MOBILE,BROOKLYN,Unspecified,,,In Progress,JEFFERSON STREET,,43359104,1002765,193819
107,,NYPD,New York City Police Department,3014720005,BROOKLYN,BROOKLYN,,16 BROOKLYN,Illegal Parking,2019-07-24T01:03:08.000,EASTERN PARKWAY,ST JOHNS PLACE,Posted Parking Sign Violation,,459 SARATOGA AVENUE,11233,EASTERN PARKWAY,ST JOHNS PLACE,SARATOGA AVENUE,40.67015550968511,"{'type': 'Point', 'coordinates': [-73.917067078336, 40.670155509685]}",Street/Sidewalk,-73.91706707833619,ONLINE,BROOKLYN,Unspecified,,,In Progress,SARATOGA AVENUE,,43360568,1007256,183443
108,,NYPD,New York City Police Department,1019880121,MANHATTAN,NEW YORK,,09 MANHATTAN,Noise - Vehicle,2019-07-24T01:04:15.000,AMSTERDAM AVENUE,BROADWAY,Car/Truck Music,,518 WEST  136 STREET,10031,AMSTERDAM AVENUE,BROADWAY,WEST  136 STREET,40.82005828529021,"{'type': 'Point', 'coordinates': [-73.952912310285, 40.82005828529]}",Street/Sidewalk,-73.952912310285,ONLINE,MANHATTAN,Unspecified,,,In Progress,WEST  136 STREET,,43359470,997283,238050
109,,NYPD,New York City Police Department,4012590027,QUEENS,JACKSON HEIGHTS,,03 QUEENS,Illegal Parking,2019-07-24T01:04:45.000,34 AVENUE,35 AVENUE,Blocked Hydrant,,34-44 73 STREET,11372,34 AVENUE,35 AVENUE,73 STREET,40.751649829754676,"{'type': 'Point', 'coordinates': [-73.89319149058, 40.751649829755]}",Street/Sidewalk,-73.8931914905804,MOBILE,QUEENS,Unspecified,,,In Progress,73 STREET,,43361078,1013843,213141
110,,NYPD,New York City Police Department,4089490053,QUEENS,WOODHAVEN,,09 QUEENS,Blocked Driveway,2019-07-24T01:06:30.000,90 AVENUE,91 AVENUE,No Access,,90-25 75 STREET,11421,90 AVENUE,91 AVENUE,75 STREET,40.686940456487,"{'type': 'Point', 'coordinates': [-73.865465969959, 40.686940456487]}",Street/Sidewalk,-73.86546596995926,PHONE,QUEENS,Unspecified,,,In Progress,75 STREET,,43355220,1021561,189576
111,,NYPD,New York City Police Department,1019880118,MANHATTAN,NEW YORK,,09 MANHATTAN,Noise - Vehicle,2019-07-24T01:10:29.000,AMSTERDAM AVENUE,BROADWAY,Car/Truck Music,,514 WEST  136 STREET,10031,AMSTERDAM AVENUE,BROADWAY,WEST  136 STREET,40.82003081301524,"{'type': 'Point', 'coordinates': [-73.952850909447, 40.820030813015]}",Street/Sidewalk,-73.952850909447,ONLINE,MANHATTAN,Unspecified,,,In Progress,WEST  136 STREET,,43357813,997300,238040
112,,NYPD,New York City Police Department,4019180055,QUEENS,CORONA,,04 QUEENS,Noise - Residential,2019-07-24T01:10:44.000,96 STREET,97 STREET,Banging/Pounding,,96-08 57 AVENUE,11368,96 STREET,97 STREET,57 AVENUE,40.73697928571333,"{'type': 'Point', 'coordinates': [-73.864625202534, 40.736979285713]}",Residential Building/House,-73.86462520253363,PHONE,QUEENS,Unspecified,,,In Progress,57 AVENUE,,43364972,1021766,207807
113,,NYPD,New York City Police Department,3030700028,BROOKLYN,BROOKLYN,,01 BROOKLYN,Noise - Street/Sidewalk,2019-07-24T01:13:42.000,MANHATTAN AVENUE,GRAHAM AVENUE,Loud Music/Party,,131 BOERUM STREET,11206,MANHATTAN AVENUE,GRAHAM AVENUE,BOERUM STREET,40.70583715666907,"{'type': 'Point', 'coordinates': [-73.943651462687, 40.705837156669]}",Street/Sidewalk,-73.94365146268677,ONLINE,BROOKLYN,Unspecified,,,In Progress,BOERUM STREET,,43364082,999873,196437
114,ADDRESS,DOT,Department of Transportation,4071750042,QUEENS,Fresh Meadows,,08 QUEENS,Street Condition,2019-07-24T01:14:46.000,73 AVENUE,75 AVENUE,Pothole,,73-51 187 STREET,11366,,,,40.73251086995339,"{'type': 'Point', 'coordinates': [-73.78375605223, 40.732510869953]}",,-73.78375605223046,UNKNOWN,QUEENS,Unspecified,2019-07-24T01:14:46.000,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,Open,187 STREET,,43356896,1044181,206224
115,,NYPD,New York City Police Department,2023750110,BRONX,BRONX,,01 BRONX,Noise - Street/Sidewalk,2019-07-24T01:14:55.000,MELROSE AVENUE,ELTON AVENUE,Loud Music/Party,,414 EAST  154 STREET,10455,MELROSE AVENUE,ELTON AVENUE,EAST  154 STREET,40.81936731704998,"{'type': 'Point', 'coordinates': [-73.915623831466, 40.81936731705]}",Street/Sidewalk,-73.9156238314657,PHONE,BRONX,Unspecified,,,In Progress,EAST  154 STREET,,43364579,1007604,237806
116,,NYPD,New York City Police Department,3050840042,BROOKLYN,BROOKLYN,,17 BROOKLYN,Noise - Street/Sidewalk,2019-07-24T01:16:48.000,BEDFORD AVENUE,ROGERS AVENUE,Loud Talking,,180 LENOX ROAD,11226,BEDFORD AVENUE,ROGERS AVENUE,LENOX ROAD,40.65391056381976,"{'type': 'Point', 'coordinates': [-73.953804432295, 40.65391056382]}",Street/Sidewalk,-73.95380443229466,PHONE,BROOKLYN,Unspecified,,,In Progress,LENOX ROAD,,43355307,997068,177517
117,,NYPD,New York City Police Department,4157640039,QUEENS,FAR ROCKAWAY,,14 QUEENS,Blocked Driveway,2019-07-24T01:18:10.000,AZTEC PLACE,BROOKHAVEN AVENUE,No Access,,563 GRASSMERE TERRACE,11691,AZTEC PLACE,BROOKHAVEN AVENUE,GRASSMERE TERRACE,40.59979061979396,"{'type': 'Point', 'coordinates': [-73.75945387614, 40.599790619794]}",Street/Sidewalk,-73.75945387613969,PHONE,QUEENS,Unspecified,,,In Progress,GRASSMERE TERRACE,,43358004,1051049,157888
118,,NYPD,New York City Police Department,2031290021,BRONX,BRONX,,06 BRONX,Noise - Residential,2019-07-24T01:18:25.000,DALY AVENUE,VYSE AVENUE,Banging/Pounding,,946 BRONX PARK SOUTH,10460,DALY AVENUE,VYSE AVENUE,BRONX PARK SOUTH,40.845640758492344,"{'type': 'Point', 'coordinates': [-73.879678320085, 40.845640758492]}",Residential Building/House,-73.87967832008482,MOBILE,BRONX,Unspecified,,,In Progress,BRONX PARK SOUTH,,43361933,1017540,247390
119,,NYPD,New York City Police Department,4090260001,QUEENS,OZONE PARK,,09 QUEENS,Blocked Driveway,2019-07-24T01:19:22.000,88 STREET,89 STREET,No Access,,88-04 95 AVENUE,11416,88 STREET,89 STREET,95 AVENUE,40.68545977887913,"{'type': 'Point', 'coordinates': [-73.85322049538, 40.685459778879]}",Street/Sidewalk,-73.85322049537984,PHONE,QUEENS,Unspecified,,,In Progress,95 AVENUE,,43358204,1024958,189042
120,,NYPD,New York City Police Department,4137050022,QUEENS,SPRINGFIELD GARDENS,,13 QUEENS,Illegal Parking,2019-07-24T01:21:01.000,147 AVENUE,148 AVENUE,Posted Parking Sign Violation,,147-31 225 STREET,11413,147 AVENUE,148 AVENUE,225 STREET,40.658556711061905,"{'type': 'Point', 'coordinates': [-73.756812725286, 40.658556711062]}",Street/Sidewalk,-73.75681272528553,PHONE,QUEENS,Unspecified,,,In Progress,225 STREET,,43355312,1051723,179300
121,,NYPD,New York City Police Department,3031870050,BROOKLYN,BROOKLYN,,04 BROOKLYN,Noise - Street/Sidewalk,2019-07-24T01:21:42.000,KNICKERBOCKER AVENUE,IRVING AVENUE,Loud Music/Party,,143 STARR STREET,11237,KNICKERBOCKER AVENUE,IRVING AVENUE,STARR STREET,40.70343568768109,"{'type': 'Point', 'coordinates': [-73.924790771095, 40.703435687681]}",Street/Sidewalk,-73.92479077109456,MOBILE,BROOKLYN,Unspecified,,,In Progress,STARR STREET,,43355146,1005103,195566
122,,NYPD,New York City Police Department,2028790045,BRONX,BRONX,,05 BRONX,Noise - Residential,2019-07-24T01:21:48.000,MORTON PLACE,WEST BURNSIDE AVENUE,Loud Music/Party,,1847 UNIVERSITY AVENUE,10453,MORTON PLACE,WEST BURNSIDE AVENUE,UNIVERSITY AVENUE,40.85164688761722,"{'type': 'Point', 'coordinates': [-73.914281600377, 40.851646887617]}",Residential Building/House,-73.91428160037674,PHONE,BRONX,Unspecified,,,In Progress,UNIVERSITY AVENUE,,43361074,1007964,249567
123,,NYPD,New York City Police Department,4095380008,QUEENS,SOUTH RICHMOND HILL,2019-07-24T01:45:20.000,10 QUEENS,Noise - Commercial,2019-07-24T01:22:20.000,115 STREET,116 STREET,Banging/Pounding,,115-22 LIBERTY AVENUE,11419,115 STREET,116 STREET,LIBERTY AVENUE,40.68576439562681,"{'type': 'Point', 'coordinates': [-73.827464394832, 40.685764395627]}",Club/Bar/Restaurant,-73.82746439483222,ONLINE,QUEENS,Unspecified,2019-07-24T05:45:23.000,The Police Department responded to the complaint and determined that police action was not necessary,Closed,LIBERTY AVENUE,,43358916,1032101,189166
124,,DOT,Department of Transportation,1022150538,BRONX,BRONX,,08 BRONX,Sidewalk Condition,2019-07-24T01:23:14.000,WEST  225 STREET,MARBLE HILL LANE,Broken Sidewalk,,22 MARBLE HILL AVENUE,10463,WEST  225 STREET,MARBLE HILL LANE,MARBLE HILL AVENUE,40.87516053965538,"{'type': 'Point', 'coordinates': [-73.910425607422, 40.875160539655]}",Sidewalk,-73.91042560742227,ONLINE,BRONX,Unspecified,,,In Progress,MARBLE HILL AVENUE,,43363982,1009022,258135
125,,NYPD,New York City Police Department,2025110095,BRONX,BRONX,,04 BRONX,Blocked Driveway,2019-07-24T01:23:59.000,WEST  163 STREET,WEST  164 STREET,No Access,,985 WOODYCREST AVENUE,10452,WEST  163 STREET,WEST  164 STREET,WOODYCREST AVENUE,40.832240389759164,"{'type': 'Point', 'coordinates': [-73.928312999169, 40.832240389759]}",Street/Sidewalk,-73.92831299916863,MOBILE,BRONX,Unspecified,,,In Progress,WOODYCREST AVENUE,,43357894,1004088,242493
126,,NYPD,New York City Police Department,2031440002,BRONX,BRONX,,05 BRONX,Noise - Vehicle,2019-07-24T01:24:53.000,EAST  180 STREET,EAST  181 STREET,Car/Truck Music,,2082 VALENTINE AVENUE,10457,EAST  180 STREET,EAST  181 STREET,VALENTINE AVENUE,40.852782576688604,"{'type': 'Point', 'coordinates': [-73.899882635158, 40.852782576689]}",,-73.89988263515792,PHONE,BRONX,Unspecified,,,In Progress,VALENTINE AVENUE,,43363220,1011947,249985
127,,NYPD,New York City Police Department,3015370001,BROOKLYN,BROOKLYN,,16 BROOKLYN,Noise - Street/Sidewalk,2019-07-24T01:25:02.000,HULL STREET,FULTON STREET,Loud Music/Party,,170 THOMAS BOYLAND STREET,11233,HULL STREET,FULTON STREET,THOMAS S BOYLAND STREET,40.6787249237629,"{'type': 'Point', 'coordinates': [-73.913638594234, 40.678724923763]}",Street/Sidewalk,-73.91363859423356,PHONE,BROOKLYN,Unspecified,,,In Progress,THOMAS BOYLAND STREET,,43358864,1008204,186566
128,,NYPD,New York City Police Department,4108210001,QUEENS,HOLLIS,,12 QUEENS,Noise - Residential,2019-07-24T01:25:44.000,JAMAICA AVENUE,WOODHULL AVENUE,Loud Music/Party,,91-61 193 STREET,11423,JAMAICA AVENUE,WOODHULL AVENUE,193 STREET,40.71183182753478,"{'type': 'Point', 'coordinates': [-73.76689499989, 40.711831827535]}",Residential Building/House,-73.76689499988953,PHONE,QUEENS,Unspecified,,,In Progress,193 STREET,,43355186,1048874,198702
129,,NYPD,New York City Police Department,4073100043,QUEENS,BAYSIDE,,11 QUEENS,Noise - Residential,2019-07-24T01:25:54.000,OCEANIA STREET,211 STREET,Banging/Pounding,,209-33 45 DRIVE,11361,OCEANIA STREET,211 STREET,45 DRIVE,40.75776424316724,"{'type': 'Point', 'coordinates': [-73.773170158402, 40.757764243167]}",,-73.77317015840175,PHONE,QUEENS,Unspecified,,,In Progress,45 DRIVE,,43360080,1047091,215432
130,,NYPD,New York City Police Department,3074220817,BROOKLYN,BROOKLYN,,15 BROOKLYN,Noise - Residential,2019-07-24T01:25:57.000,AVENUE X,AVENUE Y,Loud Music/Party,,2426 EAST   28 STREET,11235,AVENUE X,AVENUE Y,EAST   28 STREET,40.59287499914955,"{'type': 'Point', 'coordinates': [-73.942432542758, 40.59287499915]}",Residential Building/House,-73.94243254275754,PHONE,BROOKLYN,Unspecified,,,In Progress,EAST   28 STREET,,43356063,1000238,155282
131,,NYPD,New York City Police Department,4103520108,QUEENS,HOLLIS,,12 QUEENS,Non-Emergency Police Matter,2019-07-24T01:26:05.000,186 STREET,BEND,Trespassing,,186-02 JAMAICA AVENUE,11423,186 STREET,BEND,JAMAICA AVENUE,40.709966506342894,"{'type': 'Point', 'coordinates': [-73.772950468197, 40.709966506343]}",,-73.77295046819653,PHONE,QUEENS,Unspecified,,,In Progress,JAMAICA AVENUE,,43357296,1047197,198018
132,,NYPD,New York City Police Department,3032970001,BROOKLYN,BROOKLYN,,04 BROOKLYN,Noise - Street/Sidewalk,2019-07-24T01:26:50.000,CENTRAL AVENUE,WILSON AVENUE,Loud Music/Party,,1280 GREENE AVENUE,11221,CENTRAL AVENUE,WILSON AVENUE,GREENE AVENUE,40.69711155695011,"{'type': 'Point', 'coordinates': [-73.920430679293, 40.69711155695]}",Street/Sidewalk,-73.92043067929349,PHONE,BROOKLYN,Unspecified,,,In Progress,GREENE AVENUE,,43359164,1006314,193263
133,,NYPD,New York City Police Department,1008790027,MANHATTAN,NEW YORK,,06 MANHATTAN,Noise - Residential,2019-07-24T01:28:26.000,LEXINGTON AVENUE,3 AVENUE,Banging/Pounding,,145 EAST   23 STREET,10010,LEXINGTON AVENUE,3 AVENUE,EAST   23 STREET,40.739341420550296,"{'type': 'Point', 'coordinates': [-73.984324321949, 40.73934142055]}",,-73.98432432194892,PHONE,MANHATTAN,Unspecified,,,In Progress,EAST   23 STREET,,43360102,988594,208639
134,,NYPD,New York City Police Department,4071110032,QUEENS,FRESH MEADOWS,,08 QUEENS,Illegal Parking,2019-07-24T01:28:27.000,182 STREET,183 STREET,Commercial Overnight Parking,,182-17 69 AVENUE,11365,182 STREET,183 STREET,69 AVENUE,40.73399399517197,"{'type': 'Point', 'coordinates': [-73.788705438587, 40.733993995172]}",Street/Sidewalk,-73.7887054385868,ONLINE,QUEENS,Unspecified,,,In Progress,69 AVENUE,,43357772,1042808,206761
135,,NYPD,New York City Police Department,,BROOKLYN,,,11 BROOKLYN,Blocked Driveway,2019-07-24T01:28:58.000,AVENUE T,WEST   12 STREET,No Access,,AVENUE T,11223,AVENUE T,WEST   12 STREET,,40.59814178832518,"{'type': 'Point', 'coordinates': [-73.983565262571, 40.598141788325]}",,-73.98356526257055,PHONE,BROOKLYN,Unspecified,,,In Progress,AVENUE T,,43364580,988814,157196
136,,NYPD,New York City Police Department,3063160006,BROOKLYN,BROOKLYN,,11 BROOKLYN,Illegal Parking,2019-07-24T01:30:05.000,82 STREET,83 STREET,Blocked Hydrant,,8201 19 AVENUE,11214,82 STREET,83 STREET,19 AVENUE,40.60816694506448,"{'type': 'Point', 'coordinates': [-73.998123623148, 40.608166945064]}",Street/Sidewalk,-73.99812362314826,PHONE,BROOKLYN,Unspecified,,,In Progress,19 AVENUE,,43363900,984771,160848
137,,NYPD,New York City Police Department,1021440033,MANHATTAN,NEW YORK,,12 MANHATTAN,Noise - Residential,2019-07-24T01:31:08.000,ST NICHOLAS AVENUE,WADSWORTH AVENUE,Banging/Pounding,,612 WEST  178 STREET,10033,ST NICHOLAS AVENUE,WADSWORTH AVENUE,WEST  178 STREET,40.84754647226867,"{'type': 'Point', 'coordinates': [-73.935648300361, 40.847546472269]}",Residential Building/House,-73.93564830036111,PHONE,MANHATTAN,Unspecified,,,In Progress,WEST  178 STREET,,43356964,1002054,248068
138,,NYPD,New York City Police Department,3063280001,BROOKLYN,BROOKLYN,,11 BROOKLYN,Illegal Parking,2019-07-24T01:31:41.000,19 AVENUE,20 AVENUE,Blocked Hydrant,,1901 84 STREET,11214,19 AVENUE,20 AVENUE,84 STREET,40.60690434935019,"{'type': 'Point', 'coordinates': [-73.998908768841, 40.60690434935]}",Street/Sidewalk,-73.99890876884116,PHONE,BROOKLYN,Unspecified,,,In Progress,84 STREET,,43360115,984553,160388
139,,NYPD,New York City Police Department,3015890040,BROOKLYN,BROOKLYN,,03 BROOKLYN,Blocked Driveway,2019-07-24T01:31:49.000,LEWIS AVENUE,STUYVESANT AVENUE,No Access,,390 VERNON AVENUE,11206,LEWIS AVENUE,STUYVESANT AVENUE,VERNON AVENUE,40.69619869924111,"{'type': 'Point', 'coordinates': [-73.93541572758, 40.696198699241]}",,-73.93541572758008,PHONE,BROOKLYN,Unspecified,,,In Progress,VERNON AVENUE,,43356309,1002159,192927
140,,NYPD,New York City Police Department,2028970132,BRONX,BRONX,,03 BRONX,Noise - Street/Sidewalk,2019-07-24T01:33:23.000,CLAY AVENUE,BROOK AVENUE,Loud Talking,,415 CLAREMONT PARKWAY,10457,CLAY AVENUE,BROOK AVENUE,CLAREMONT PARKWAY,40.83956817961745,"{'type': 'Point', 'coordinates': [-73.904741694888, 40.839568179617]}",Street/Sidewalk,-73.90474169488782,PHONE,BRONX,Unspecified,,,In Progress,CLAREMONT PARKWAY,,43356261,1010608,245169
141,,NYPD,New York City Police Department,2027630233,BRONX,BRONX,,02 BRONX,Noise - Street/Sidewalk,2019-07-24T01:33:32.000,SPOFFORD AVENUE,LAFAYETTE AVENUE,Loud Music/Party,,735 BRYANT AVENUE,10474,SPOFFORD AVENUE,LAFAYETTE AVENUE,BRYANT AVENUE,40.815515500025704,"{'type': 'Point', 'coordinates': [-73.885805759532, 40.815515500026]}",Street/Sidewalk,-73.88580575953223,PHONE,BRONX,Unspecified,,,In Progress,BRYANT AVENUE,,43358160,1015859,236412
142,,NYPD,New York City Police Department,3065970006,BROOKLYN,BROOKLYN,,11 BROOKLYN,Illegal Parking,2019-07-24T01:33:36.000,WEST   10 STREET,WEST    9 STREET,Posted Parking Sign Violation,,54 AVENUE O,11204,WEST   10 STREET,WEST    9 STREET,AVENUE O,40.610287463567325,"{'type': 'Point', 'coordinates': [-73.983230924799, 40.610287463567]}",Street/Sidewalk,-73.98323092479946,PHONE,BROOKLYN,Unspecified,,,In Progress,AVENUE O,,43354986,988906,161621
143,,NYPD,New York City Police Department,2029830030,BRONX,BRONX,,03 BRONX,Noise - Street/Sidewalk,2019-07-24T01:35:47.000,EAST  173 STREET,EAST  174 STREET,Loud Talking,,1705 HOE AVENUE,10460,EAST  173 STREET,EAST  174 STREET,HOE AVENUE,40.83634934042209,"{'type': 'Point', 'coordinates': [-73.887262518177, 40.836349340422]}",Street/Sidewalk,-73.88726251817741,ONLINE,BRONX,Unspecified,,,In Progress,HOE AVENUE,,43358728,1015446,244002
144,,NYPD,New York City Police Department,1018370027,MANHATTAN,NEW YORK,,07 MANHATTAN,Noise - Street/Sidewalk,2019-07-24T01:36:14.000,CENTRAL PARK WEST,MANHATTAN AVENUE,Loud Talking,,3 WEST  101 STREET,10025,CENTRAL PARK WEST,MANHATTAN AVENUE,WEST  101 STREET,40.79510142255794,"{'type': 'Point', 'coordinates': [-73.962930495498, 40.795101422558]}",Street/Sidewalk,-73.96293049549811,ONLINE,MANHATTAN,Unspecified,,,In Progress,WEST  101 STREET,,43363343,994514,228956
145,,NYPD,New York City Police Department,1020670018,MANHATTAN,NEW YORK,,09 MANHATTAN,Noise - Street/Sidewalk,2019-07-24T01:37:21.000,CONVENT AVENUE,AMSTERDAM AVENUE,Loud Music/Party,,453 WEST  152 STREET,10031,CONVENT AVENUE,AMSTERDAM AVENUE,WEST  152 STREET,40.82900425422683,"{'type': 'Point', 'coordinates': [-73.94284253543, 40.829004254227]}",Street/Sidewalk,-73.94284253543032,ONLINE,MANHATTAN,Unspecified,,,In Progress,WEST  152 STREET,,43359813,1000068,241311
146,,NYPD,New York City Police Department,4017860017,QUEENS,CORONA,,03 QUEENS,Noise - Residential,2019-07-24T01:37:23.000,39 AVENUE,ROOSEVELT AVENUE,Banging/Pounding,,39-06 114 STREET,11368,39 AVENUE,ROOSEVELT AVENUE,114 STREET,40.753208409320784,"{'type': 'Point', 'coordinates': [-73.852941280249, 40.753208409321]}",Residential Building/House,-73.85294128024894,ONLINE,QUEENS,Unspecified,,,In Progress,114 STREET,,43360904,1024994,213725
147,,NYPD,New York City Police Department,,BRONX,BRONX,,06 BRONX,Blocked Driveway,2019-07-24T01:37:33.000,EAST  183 STREET,CRESCENT AVENUE,No Access,,2337 BELMONT AVENUE,10458,EAST  183 STREET,CRESCENT AVENUE,BELMONT AVENUE,40.8534895369151,"{'type': 'Point', 'coordinates': [-73.88674185623, 40.853489536915]}",,-73.88674185622992,PHONE,BRONX,Unspecified,,,In Progress,BELMONT AVENUE,,43362003,1015582,250247
148,,NYPD,New York City Police Department,2030860033,BRONX,BRONX,,06 BRONX,Blocked Driveway,2019-07-24T01:39:46.000,EAST  182 STREET,EAST  183 STREET,No Access,,2237 BELMONT AVENUE,10457,EAST  182 STREET,EAST  183 STREET,BELMONT AVENUE,40.85163777578711,"{'type': 'Point', 'coordinates': [-73.887677595942, 40.851637775787]}",Street/Sidewalk,-73.88767759594234,PHONE,BRONX,Unspecified,,,In Progress,BELMONT AVENUE,,43359165,1015324,249572
149,,NYPD,New York City Police Department,3036967501,BROOKLYN,BROOKLYN,,16 BROOKLYN,Noise - Street/Sidewalk,2019-07-24T01:40:32.000,LIBERTY AVENUE,GLENMORE AVENUE,Loud Talking,,91 JUNIUS STREET,11212,LIBERTY AVENUE,GLENMORE AVENUE,JUNIUS STREET,40.6728158292927,"{'type': 'Point', 'coordinates': [-73.903775799491, 40.672815829293]}",Street/Sidewalk,-73.90377579949111,ONLINE,BROOKLYN,Unspecified,,,In Progress,JUNIUS STREET,,43359473,1010942,184416
150,,NYPD,New York City Police Department,3045970060,BROOKLYN,BROOKLYN,,17 BROOKLYN,Noise - Residential,2019-07-24T01:40:41.000,EAST NEW YORK AVENUE,RUTLAND ROAD,Loud Music/Party,,69 EAST   94 STREET,11212,EAST NEW YORK AVENUE,RUTLAND ROAD,EAST   94 STREET,40.66334401569364,"{'type': 'Point', 'coordinates': [-73.926692277203, 40.663344015694]}",,-73.92669227720259,PHONE,BROOKLYN,Unspecified,,,In Progress,EAST   94 STREET,,43362035,1004588,180959
151,,NYPD,New York City Police Department,3032970001,BROOKLYN,BROOKLYN,,04 BROOKLYN,Noise - Residential,2019-07-24T01:40:42.000,CENTRAL AVENUE,WILSON AVENUE,Loud Talking,,1280 GREENE AVENUE,11221,CENTRAL AVENUE,WILSON AVENUE,GREENE AVENUE,40.69711155695011,"{'type': 'Point', 'coordinates': [-73.920430679293, 40.69711155695]}",Residential Building/House,-73.92043067929349,PHONE,BROOKLYN,Unspecified,,,In Progress,GREENE AVENUE,,43357221,1006314,193263
152,,NYPD,New York City Police Department,3080460160,BROOKLYN,BROOKLYN,,18 BROOKLYN,Illegal Parking,2019-07-24T01:40:43.000,AVENUE K,AVENUE L,Blocked Hydrant,,1156 EAST   81 STREET,11236,AVENUE K,AVENUE L,EAST   81 STREET,40.63182033607495,"{'type': 'Point', 'coordinates': [-73.907855600081, 40.631820336075]}",Street/Sidewalk,-73.90785560008105,ONLINE,BROOKLYN,Unspecified,,,In Progress,EAST   81 STREET,,43356691,1009826,169479
153,,NYPD,New York City Police Department,2029300070,BRONX,BRONX,,03 BRONX,Noise - Residential,2019-07-24T01:40:44.000,EAST  174 STREET,CROSS BRONX EP NB EN FULTON AV,Banging/Pounding,,1735 FULTON AVENUE,10457,EAST  174 STREET,CROSS BRONX EP NB EN FULTON AV,FULTON AVENUE,40.842427270776525,"{'type': 'Point', 'coordinates': [-73.897299627391, 40.842427270777]}",Residential Building/House,-73.89729962739052,MOBILE,BRONX,Unspecified,,,In Progress,FULTON AVENUE,,43355623,1012666,246213
154,,NYPD,New York City Police Department,3027870030,BROOKLYN,BROOKLYN,,01 BROOKLYN,Noise - Vehicle,2019-07-24T01:42:40.000,MAUJER STREET,GRAND STREET,Car/Truck Music,,215 MANHATTAN AVENUE,11206,MAUJER STREET,GRAND STREET,MANHATTAN AVENUE,40.71084998790272,"{'type': 'Point', 'coordinates': [-73.945504850555, 40.710849987903]}",Street/Sidewalk,-73.94550485055453,MOBILE,BROOKLYN,Unspecified,,,In Progress,MANHATTAN AVENUE,,43362882,999358,198263
155,,DOHMH,Department of Health and Mental Hygiene,2029300070,BRONX,BRONX,,03 BRONX,Rodent,2019-07-24T01:44:01.000,EAST  174 STREET,CROSS BRONX EP NB EN FULTON AV,Mouse Sighting,,1735 FULTON AVENUE,10457,EAST  174 STREET,CROSS BRONX EP NB EN FULTON AV,FULTON AVENUE,40.842427270776525,"{'type': 'Point', 'coordinates': [-73.897299627391, 40.842427270777]}",3+ Family Apt. Building,-73.89729962739052,MOBILE,BRONX,Unspecified,,,In Progress,FULTON AVENUE,,43355954,1012666,246213
156,,TLC,Taxi and Limousine Commission,,MANHATTAN,,,05 MANHATTAN,Lost Property,2019-07-24T01:46:47.000,BROADWAY,EAST   17 STREET,Electronics/Phones,,BROADWAY,10003,BROADWAY,EAST   17 STREET,,40.73713255577926,"{'type': 'Point', 'coordinates': [-73.990329322207, 40.737132555779]}",,-73.99032932220675,PHONE,MANHATTAN,Unspecified,,,In Progress,BROADWAY,"BROADWAY AND EAST   17 STREET, MANHATTAN, NY, 10003",43357257,986930,207834
157,,NYPD,New York City Police Department,2023760032,BRONX,BRONX,,01 BRONX,Noise - Residential,2019-07-24T01:47:51.000,MELROSE AVENUE,ELTON AVENUE,Loud Music/Party,,415 EAST  154 STREET,10455,MELROSE AVENUE,ELTON AVENUE,EAST  154 STREET,40.81937552475766,"{'type': 'Point', 'coordinates': [-73.915587691828, 40.819375524758]}",Residential Building/House,-73.91558769182846,PHONE,BRONX,Unspecified,,,In Progress,EAST  154 STREET,,43359084,1007614,237809
