,address_type,agency,agency_name,bbl,borough,bridge_highway_direction,bridge_highway_name,bridge_highway_segment,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,latitude,location,location_type,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,road_ramp,status,street_name,taxi_pick_up_location,unique_key,x_coordinate_state_plane,y_coordinate_state_plane
90,INTERSECTION,DOT,Department of Transportation,,STATEN ISLAND,,,,STATEN ISLAND,,02 STATEN ISLAND,Traffic Signal Condition,2019-06-14T00:33:00.000,,,Veh Signal Head,,N/A,,10314,VICTORY BOULEVARD,GLEN STREET,,40.59038063583925,"{'type': 'Point', 'coordinates': [-74.192938254254, 40.590380635839]}",,-74.19293825425369,UNKNOWN,STATEN ISLAND,Unspecified,,,,Open,,,42963015,930664,154427
91,ADDRESS,NYPD,New York City Police Department,1022217501,MANHATTAN,,,,NEW YORK,2019-06-14T02:09:09.000,12 MANHATTAN,Noise - Street/Sidewalk,2019-06-14T00:33:53.000,POST AVENUE,SHERMAN AVENUE,Loud Talking,2019-06-14T08:33:53.000,Precinct,581 ACADEMY STREET,10034,,,,40.86381231443587,"{'type': 'Point', 'coordinates': [-73.923376569135, 40.863812314436]}",Street/Sidewalk,-73.92337656913543,ONLINE,MANHATTAN,Unspecified,2019-06-14T02:09:09.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,ACADEMY STREET,,42963333,1005444,253997
92,ADDRESS,NYPD,New York City Police Department,1004290004,MANHATTAN,,,,NEW YORK,2019-06-14T01:09:03.000,03 MANHATTAN,Noise - Commercial,2019-06-14T00:35:14.000,EAST 1 STREET,EAST 2 STREET,Loud Music/Party,2019-06-14T08:35:14.000,Precinct,16 1 AVENUE,10009,,,,40.723466228323794,"{'type': 'Point', 'coordinates': [-73.98827490383, 40.723466228324]}",Club/Bar/Restaurant,-73.98827490382985,PHONE,MANHATTAN,Unspecified,2019-06-14T01:09:03.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,1 AVENUE,,42956735,987500,202855
93,ADDRESS,NYPD,New York City Police Department,1009330025,MANHATTAN,,,,NEW YORK,,06 MANHATTAN,Noise - Residential,2019-06-14T00:35:38.000,MOUNT CARMEL PLACE,1 AVENUE,Loud Music/Party,2019-06-14T08:35:38.000,Precinct,344 EAST 28 STREET,10016,,,,40.740295354643706,"{'type': 'Point', 'coordinates': [-73.976951659804, 40.740295354644]}",Residential Building/House,-73.97695165980414,MOBILE,MANHATTAN,Unspecified,,Your complaint has been forwarded to the New York Police Department for a non-emergency response. Your complaint will take priority over other non-emergency complaints. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,Open,EAST 28 STREET,,42955472,990637,208987
94,ADDRESS,NYPD,New York City Police Department,4116060022,QUEENS,,,,SOUTH OZONE PARK,,10 QUEENS,Illegal Parking,2019-06-14T00:35:40.000,109 AVENUE,HAWTREE CREEK ROAD,Blocked Hydrant,2019-06-14T08:35:40.000,Precinct,109-32 126 STREET,11420,,,,40.683718083592225,"{'type': 'Point', 'coordinates': [-73.815899386639, 40.683718083592]}",Street/Sidewalk,-73.81589938663913,PHONE,QUEENS,Unspecified,,Your complaint has been forwarded to the New York Police Department for a non-emergency response. Your complaint will take priority over other non-emergency complaints. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,Open,126 STREET,,42962726,1035310,188427
95,ADDRESS,NYPD,New York City Police Department,3041260012,BROOKLYN,,,,BROOKLYN,2019-06-14T01:35:32.000,05 BROOKLYN,Blocked Driveway,2019-06-14T00:35:40.000,RIDGEWOOD AVENUE,FORCE TUBE AVENUE,No Access,2019-06-14T08:35:40.000,Precinct,159 LOGAN STREET,11208,,,,40.682980097171225,"{'type': 'Point', 'coordinates': [-73.878096939285, 40.682980097171]}",Street/Sidewalk,-73.87809693928506,PHONE,BROOKLYN,Unspecified,2019-06-14T01:35:32.000,The Police Department issued a summons in response to the complaint.,,Closed,LOGAN STREET,,42957772,1018060,188128
96,ADDRESS,NYPD,New York City Police Department,2030250001,BRONX,,,,BRONX,,05 BRONX,Noise - Residential,2019-06-14T00:36:03.000,EAST 187 STREET,EAST 188 STREET,Loud Music/Party,2019-06-14T08:36:03.000,Precinct,2430 MARION AVENUE,10458,,,,40.85982606491121,"{'type': 'Point', 'coordinates': [-73.894377047608, 40.859826064911]}",Residential Building/House,-73.89437704760793,PHONE,BRONX,Unspecified,2019-06-14T01:17:14.000,Your complaint has been received by the Police Department and additional information will be available later.,,Assigned,MARION AVENUE,,42961968,1013467,252553
97,INTERSECTION,DOT,Department of Transportation,,STATEN ISLAND,,,,STATEN ISLAND,,02 STATEN ISLAND,Street Condition,2019-06-14T00:36:10.000,,,Cave-in,2019-06-24T00:36:10.000,N/A,,10314,AKRON STREET,SAYBROOK STREET,,40.61151923448638,"{'type': 'Point', 'coordinates': [-74.158232339029, 40.611519234486]}",Street,-74.1582323390288,PHONE,STATEN ISLAND,Unspecified,,The Department of Transportation requires 10 days to respond to this type of complaint.  Please note your Service Request number for future reference.,,Open,,,42963973,940317,162109
98,ADDRESS,NYPD,New York City Police Department,3081850050,BROOKLYN,,,,BROOKLYN,,18 BROOKLYN,Illegal Parking,2019-06-14T00:36:41.000,ROCKAWAY PARKWAY,EAST 98 STREET,Commercial Overnight Parking,2019-06-14T08:36:41.000,Precinct,215 CONKLIN AVENUE,11236,,,,40.6445148244638,"{'type': 'Point', 'coordinates': [-73.901059970062, 40.644514824464]}",Street/Sidewalk,-73.90105997006154,MOBILE,BROOKLYN,Unspecified,2019-06-14T01:56:59.000,Your complaint has been received by the Police Department and additional information will be available later.,,Assigned,CONKLIN AVENUE,,42957523,1011707,174106
99,ADDRESS,NYPD,New York City Police Department,3030710004,BROOKLYN,,,,BROOKLYN,2019-06-14T01:45:43.000,01 BROOKLYN,Noise - Commercial,2019-06-14T00:37:43.000,BOERUM STREET,JOHNSON AVENUE,Loud Music/Party,2019-06-14T08:37:43.000,Precinct,138 GRAHAM AVENUE,11206,,,,40.70618267902816,"{'type': 'Point', 'coordinates': [-73.9430055557, 40.706182679028]}",Store/Commercial,-73.94300555570015,MOBILE,BROOKLYN,Unspecified,2019-06-14T01:45:43.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,GRAHAM AVENUE,,42963267,1000052,196563
100,ADDRESS,DOT,Department of Transportation,3053130010,BROOKLYN,,,,BROOKLYN,,12 BROOKLYN,Street Light Condition,2019-06-14T00:38:00.000,CHESTER AVE,STORY ST,Street Light Out,,N/A,97 LOUISA STREET,11218,,,,40.64264847615242,"{'type': 'Point', 'coordinates': [-73.982815613223, 40.642648476152]}",,-73.98281561322342,UNKNOWN,BROOKLYN,Unspecified,,,,Open,LOUISA STREET,,42963069,989019,173411
101,ADDRESS,DSNY,Department of Sanitation,3013710074,BROOKLYN,,,,BROOKLYN,,08 BROOKLYN,Request Large Bulky Item Collection,2019-06-14T00:38:00.000,TROY AVENUE,SCHENECTADY AVENUE,Request Large Bulky Item Collection,,N/A,1297 STERLING PLACE,11213,,,,40.671731825825496,"{'type': 'Point', 'coordinates': [-73.935468259141, 40.671731825826]}",Sidewalk,-73.93546825914073,PHONE,BROOKLYN,Unspecified,2019-06-15T00:00:00.000,The Department of Sanitation has sent this complaint to the appropriate district garage or bureau for further action.,,Assigned,STERLING PLACE,,42957096,1002151,184013
102,INTERSECTION,DHS,Operations Unit - Department of Homeless Services,,BROOKLYN,,,,BROOKLYN,2019-06-14T01:36:39.000,Unspecified BROOKLYN,Homeless Person Assistance,2019-06-14T00:38:05.000,,,N/A,2019-06-14T01:38:05.000,N/A,,11222,MCGUINNESS BOULEVARD,NORMAN AVENUE,,40.72630189628688,"{'type': 'Point', 'coordinates': [-73.94911813036, 40.726301896287]}",Street/Sidewalk,-73.94911813035976,PHONE,BROOKLYN,Unspecified,2019-06-14T01:36:39.000,The mobile outreach response team went to the location provided but could not find the individual that you reported.,,Closed,,,42959581,998353,203892
103,INTERSECTION,NYPD,New York City Police Department,,QUEENS,,,,RIDGEWOOD,,05 QUEENS,Noise - Vehicle,2019-06-14T00:38:25.000,,,Car/Truck Music,2019-06-14T08:38:25.000,Precinct,,11385,PUTNAM AVENUE,WOODWARD AVENUE,,40.7035377327144,"{'type': 'Point', 'coordinates': [-73.903381610405, 40.703537732714]}",Street/Sidewalk,-73.90338161040499,PHONE,QUEENS,Unspecified,2019-06-14T01:09:03.000,Your complaint has been received by the Police Department and additional information will be available later.,,Assigned,,,42959136,1011039,195609
104,INTERSECTION,NYPD,New York City Police Department,,MANHATTAN,,,,NEW YORK,2019-06-14T01:09:03.000,03 MANHATTAN,Noise - Street/Sidewalk,2019-06-14T00:38:40.000,,,Loud Talking,2019-06-14T08:38:40.000,Precinct,,10009,FIRST AVENUE,EAST FIRST STREET,,40.723260387178414,"{'type': 'Point', 'coordinates': [-73.988430071608, 40.723260387178]}",Street/Sidewalk,-73.98843007160804,PHONE,MANHATTAN,Unspecified,2019-06-14T01:09:03.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,,,42960677,987457,202780
105,INTERSECTION,NYPD,New York City Police Department,,MANHATTAN,,,,NEW YORK,2019-06-14T01:30:27.000,07 MANHATTAN,Noise - Vehicle,2019-06-14T00:39:35.000,,,Car/Truck Music,2019-06-14T08:39:35.000,Precinct,,10024,RIVERSIDE DRIVE,WEST   79 STREET,,40.78497527266366,"{'type': 'Point', 'coordinates': [-73.982638048788, 40.784975272664]}",Street/Sidewalk,-73.98263804878785,PHONE,MANHATTAN,Unspecified,2019-06-14T01:30:27.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,Closed,,,42958059,989058,225265
106,ADDRESS,DCA,Department of Consumer Affairs,3074590040,BROOKLYN,,,,BROOKLYN,,15 BROOKLYN,Consumer Complaint,2019-06-14T00:39:45.000,JEROME AVENUE,VOORHIES AVENUE,Mandatory Tip,2019-06-18T00:39:45.000,N/A,1664 SHEEPSHEAD BAY ROAD,11235,,,,40.58641550436959,"{'type': 'Point', 'coordinates': [-73.952277781962, 40.58641550437]}",,-73.95227778196234,ONLINE,BROOKLYN,Unspecified,,"The Department of Consumer Affairs (DCA) usually requires 4 days to review a complaint. If DCA is the right agency to handle your complaint, we will let you know what we are doing, which includes mailing you a complaint form or inspecting the business. If DCA is not the right agency to handle your complaint, we will let you know which agency you should contact for help. Please note your Service Request number for future reference.",,Open,SHEEPSHEAD BAY ROAD,,42960519,997505,152927
107,ADDRESS,NYPD,New York City Police Department,4115290051,QUEENS,,,,OZONE PARK,,10 QUEENS,Noise - Commercial,2019-06-14T00:42:41.000,PITKIN AVENUE,VAN WICKLEN ROAD,Loud Music/Party,2019-06-14T08:42:41.000,Precinct,137-09 CROSSBAY BOULEVARD,11417,,,,40.67181584567338,"{'type': 'Point', 'coordinates': [-73.843091819508, 40.671815845673]}",Club/Bar/Restaurant,-73.84309181950769,PHONE,QUEENS,Unspecified,,Your complaint has been forwarded to the New York Police Department for a non-emergency response. Your complaint will take priority over other non-emergency complaints. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,Open,CROSSBAY BOULEVARD,,42955276,1027776,184076
108,ADDRESS,NYPD,New York City Police Department,3018560041,BROOKLYN,,,,BROOKLYN,,03 BROOKLYN,Noise - Residential,2019-06-14T00:43:27.000,ALBANY AVENUE,MARCUS GARVEY BOULEVARD,Loud Music/Party,2019-06-14T08:43:27.000,Precinct,145 DECATUR STREET,11216,,,,40.68095008791055,"{'type': 'Point', 'coordinates': [-73.93784252322, 40.680950087911]}",Residential Building/House,-73.93784252322044,ONLINE,BROOKLYN,Unspecified,2019-06-14T00:55:40.000,Your complaint has been received by the Police Department and additional information will be available later.,,Assigned,DECATUR STREET,,42964655,1001490,187371
109,ADDRESS,NYPD,New York City Police Department,4117590035,QUEENS,,,,SOUTH OZONE PARK,,10 QUEENS,Blocked Driveway,2019-06-14T00:43:32.000,ROCKAWAY BOULEVARD,SUTTER AVENUE,No Access,2019-06-14T08:43:32.000,Precinct,123-21 135 STREET,11420,,,,40.674211762243935,"{'type': 'Point', 'coordinates': [-73.803585486853, 40.674211762244]}",Street/Sidewalk,-73.80358548685278,ONLINE,QUEENS,Unspecified,,"Your complaint has been forwarded to the New York Police Department for a non-emergency response. If the police determine the vehicle is illegally parked, they will ticket the vehicle and then you may either contact a private towing company to remove the vehicle or ask your local precinct to contact 'rotation tow'. Any fees charged for towing will have to be paid by the vehicle owner. 311 will have additional information in 8 hours. Please note your service request number for future reference.",,Open,135 STREET,,42956271,1038733,184971
110,ADDRESS,NYPD,New York City Police Department,4014340027,QUEENS,,,,JACKSON HEIGHTS,,03 QUEENS,Illegal Parking,2019-06-14T00:43:46.000,NORTHERN BOULEVARD,34 AVENUE,Blocked Hydrant,2019-06-14T08:43:46.000,Precinct,33-46 87 STREET,11372,,,,40.75518914450165,"{'type': 'Point', 'coordinates': [-73.880574421594, 40.755189144502]}",Street/Sidewalk,-73.88057442159365,ONLINE,QUEENS,Unspecified,2019-06-14T01:01:45.000,Your complaint has been received by the Police Department and additional information will be available later.,,Assigned,87 STREET,,42964098,1017337,214435
111,ADDRESS,NYPD,New York City Police Department,4095720047,QUEENS,,,,SOUTH RICHMOND HILL,,10 QUEENS,Blocked Driveway,2019-06-14T00:43:59.000,LIBERTY AVENUE,107 AVENUE,No Access,2019-06-14T08:43:59.000,Precinct,104-49 118 STREET,11419,,,,40.685716585043295,"{'type': 'Point', 'coordinates': [-73.824886452618, 40.685716585043]}",Street/Sidewalk,-73.8248864526185,ONLINE,QUEENS,Unspecified,,"Your complaint has been forwarded to the New York Police Department for a non-emergency response. If the police determine the vehicle is illegally parked, they will ticket the vehicle and then you may either contact a private towing company to remove the vehicle or ask your local precinct to contact 'rotation tow'. Any fees charged for towing will have to be paid by the vehicle owner. 311 will have additional information in 8 hours. Please note your service request number for future reference.",,Open,118 STREET,,42957569,1032816,189150
112,ADDRESS,NYPD,New York City Police Department,2024180020,BRONX,,,,BRONX,,01 BRONX,Blocked Driveway,2019-06-14T00:44:13.000,EAST 158 STREET,EAST 159 STREET,No Access,2019-06-14T08:44:13.000,Precinct,813 COURTLANDT AVENUE,10451,,,,40.8231336440229,"{'type': 'Point', 'coordinates': [-73.916410330642, 40.823133644023]}",Street/Sidewalk,-73.9164103306419,MOBILE,BRONX,Unspecified,,"Your complaint has been forwarded to the New York Police Department for a non-emergency response. If the police determine the vehicle is illegally parked, they will ticket the vehicle and then you may either contact a private towing company to remove the vehicle or ask your local precinct to contact 'rotation tow'. Any fees charged for towing will have to be paid by the vehicle owner. 311 will have additional information in 8 hours. Please note your service request number for future reference.",,Open,COURTLANDT AVENUE,,42962776,1007385,239178
113,ADDRESS,NYPD,New York City Police Department,3023640022,BROOKLYN,,,,BROOKLYN,2019-06-14T02:30:42.000,01 BROOKLYN,Noise - Commercial,2019-06-14T00:45:13.000,WYTHE AVENUE,BERRY STREET,Loud Music/Party,2019-06-14T08:45:13.000,Precinct,152 METROPOLITAN AVENUE,11249,,,,40.71604975056293,"{'type': 'Point', 'coordinates': [-73.962141170724, 40.716049750563]}",Club/Bar/Restaurant,-73.96214117072438,PHONE,BROOKLYN,Unspecified,2019-06-14T01:46:45.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,Closed,METROPOLITAN AVENUE,,42961940,994745,200155
114,ADDRESS,DOT,Department of Transportation,1002840017,MANHATTAN,,,,NEW YORK,,03 MANHATTAN,Street Condition,2019-06-14T00:45:19.000,CANAL STREET,JEFFERSON STREET,Pothole,,N/A,187 EAST BROADWAY,10002,,,,40.714161556076455,"{'type': 'Point', 'coordinates': [-73.988907803829, 40.714161556076]}",,-73.98890780382884,UNKNOWN,MANHATTAN,Unspecified,2019-06-14T00:45:19.000,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,,Open,EAST BROADWAY,,42955785,987325,199465
115,ADDRESS,NYPD,New York City Police Department,2023110001,BRONX,,,,BRONX,,01 BRONX,Noise - Street/Sidewalk,2019-06-14T00:45:36.000,LINCOLN AVENUE,ALEXANDER AVENUE,Loud Music/Party,2019-06-14T08:45:36.000,Precinct,300 EAST 138 STREET,10454,,,,40.81059156789263,"{'type': 'Point', 'coordinates': [-73.926363921585, 40.810591567893]}",Street/Sidewalk,-73.92636392158543,PHONE,BRONX,Unspecified,2019-06-14T01:15:11.000,Your complaint has been received by the Police Department and additional information will be available later.,,Assigned,EAST 138 STREET,,42961775,1004634,234606
116,ADDRESS,DSNY,Department of Sanitation,5053060063,STATEN ISLAND,,,,STATEN ISLAND,,03 STATEN ISLAND,Request Large Bulky Item Collection,2019-06-14T00:46:00.000,SWEETWATER AVENUE,TENNYSON DRIVE,Request Large Bulky Item Collection,,N/A,224 WIMAN AVENUE,10308,,,,40.5390356414819,"{'type': 'Point', 'coordinates': [-74.144766955957, 40.539035641482]}",Sidewalk,-74.1447669559575,PHONE,STATEN ISLAND,Unspecified,2019-06-17T00:00:00.000,The Department of Sanitation has sent this complaint to the appropriate district garage or bureau for further action.,,Assigned,WIMAN AVENUE,,42958354,944012,135695
117,INTERSECTION,DOT,Department of Transportation,,BROOKLYN,,,,BROOKLYN,,12 BROOKLYN,Traffic Signal Condition,2019-06-14T00:46:00.000,,,Controller,,N/A,,11218,13 AVENUE,38 STREET,,40.641185901546635,"{'type': 'Point', 'coordinates': [-73.98570941833, 40.641185901547]}",,-73.98570941833003,UNKNOWN,BROOKLYN,Unspecified,,,,Open,,,42957918,988216,172878
118,,DOT,Department of Transportation,,Unspecified,North/Westchester County Bound,Bronx River Pkwy,Pelham Pkwy (Exit 7E) - East Fordham Road (US 1S) (Exit 7W),BRONX,2019-06-14T02:33:48.000,0 Unspecified,Highway Condition,2019-06-14T00:46:08.000,,,Litter,2019-06-28T00:46:08.000,N/A,,10462,,,,40.85547517733097,"{'type': 'Point', 'coordinates': [-73.87214879601, 40.855475177331]}",Highway,-73.87214879600968,PHONE,Unspecified,Unspecified,2019-06-14T02:33:19.000,"The condition has been inspected/investigated, see customer notes for more information.",Roadway,Closed,,,42964562,1019618,250976
119,ADDRESS,NYPD,New York City Police Department,3051710005,BROOKLYN,,,,BROOKLYN,,17 BROOKLYN,Blocked Driveway,2019-06-14T00:46:33.000,BEVERLEY ROAD,CORTELYOU ROAD,No Access,2019-06-14T08:46:33.000,Precinct,222 EAST 28 STREET,11226,,,,40.64448373968417,"{'type': 'Point', 'coordinates': [-73.950820093843, 40.644483739684]}",Street/Sidewalk,-73.9508200938434,PHONE,BROOKLYN,Unspecified,2019-06-14T01:52:54.000,Your complaint has been received by the Police Department and additional information will be available later.,,Assigned,EAST 28 STREET,,42962975,997898,174083
120,ADDRESS,NYPD,New York City Police Department,1014380001,MANHATTAN,,,,NEW YORK,2019-06-14T01:14:10.000,08 MANHATTAN,Noise - Vehicle,2019-06-14T00:47:16.000,2 AVENUE,ED KOCH QUEENSBORO BRIDGE EXIT,Car/Truck Horn,2019-06-14T08:47:16.000,Precinct,301 EAST 63 STREET,10065,,,,40.76305919086124,"{'type': 'Point', 'coordinates': [-73.96236714057, 40.763059190861]}",Street/Sidewalk,-73.96236714056968,MOBILE,MANHATTAN,Unspecified,2019-06-14T01:14:10.000,The Police Department responded and upon arrival those responsible for the condition were gone.,,Closed,EAST 63 STREET,,42955027,994675,217282
121,ADDRESS,NYPD,New York City Police Department,3021660001,BROOKLYN,,,,BROOKLYN,2019-06-14T02:30:42.000,01 BROOKLYN,Noise - Residential,2019-06-14T00:47:17.000,WYTHE AVENUE,BERRY STREET,Loud Music/Party,2019-06-14T08:47:17.000,Precinct,60 DIVISION AVENUE,11249,,,,40.7071689944868,"{'type': 'Point', 'coordinates': [-73.966308507974, 40.707168994487]}",Residential Building/House,-73.96630850797419,PHONE,BROOKLYN,Unspecified,2019-06-14T01:46:44.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,Closed,DIVISION AVENUE,,42963298,993591,196919
122,ADDRESS,NYPD,New York City Police Department,5045740058,STATEN ISLAND,,,,STATEN ISLAND,2019-06-14T02:10:11.000,03 STATEN ISLAND,Blocked Driveway,2019-06-14T00:47:19.000,DEWEY AVENUE,WILLOWWOOD LANE,No Access,2019-06-14T08:47:19.000,Precinct,120 CORBIN AVENUE,10308,,,,40.558655825037626,"{'type': 'Point', 'coordinates': [-74.144564749588, 40.558655825038]}",Street/Sidewalk,-74.14456474958831,PHONE,STATEN ISLAND,Unspecified,2019-06-14T02:10:11.000,The Police Department issued a summons in response to the complaint.,,Closed,CORBIN AVENUE,,42964342,944080,142843
123,ADDRESS,NYPD,New York City Police Department,2029370066,BRONX,,,,BRONX,2019-06-14T01:27:24.000,03 BRONX,Blocked Driveway,2019-06-14T00:47:35.000,CROTONA AVENUE,BOSTON ROAD,No Access,2019-06-14T08:47:35.000,Precinct,695 EAST 170 STREET,10456,,,,40.833540134717616,"{'type': 'Point', 'coordinates': [-73.89756991783, 40.833540134718]}",Street/Sidewalk,-73.89756991782974,PHONE,BRONX,Unspecified,2019-06-14T01:27:24.000,The Police Department issued a summons in response to the complaint.,,Closed,EAST 170 STREET,,42960344,1012595,242975
124,ADDRESS,NYPD,New York City Police Department,2029010001,BRONX,,,,BRONX,,03 BRONX,Noise - Residential,2019-06-14T00:47:38.000,EAST 169 STREET,EAST 170 STREET,Banging/Pounding,2019-06-14T08:47:38.000,Precinct,1385 WASHINGTON AVENUE,10456,,,,40.8348474210791,"{'type': 'Point', 'coordinates': [-73.904918300859, 40.834847421079]}",Residential Building/House,-73.90491830085918,PHONE,BRONX,Unspecified,2019-06-14T01:16:13.000,Your complaint has been received by the Police Department and additional information will be available later.,,Assigned,WASHINGTON AVENUE,,42963269,1010561,243449
125,ADDRESS,NYPD,New York City Police Department,3027820040,BROOKLYN,,,,BROOKLYN,2019-06-14T02:30:43.000,01 BROOKLYN,Noise - Commercial,2019-06-14T00:47:54.000,MANHATTAN AVENUE,GRAHAM AVENUE,Loud Music/Party,2019-06-14T08:47:54.000,Precinct,683 GRAND STREET,11211,,,,40.71153871739402,"{'type': 'Point', 'coordinates': [-73.945071438236, 40.711538717394]}",Club/Bar/Restaurant,-73.9450714382363,ONLINE,BROOKLYN,Unspecified,2019-06-14T01:46:44.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,Closed,GRAND STREET,,42955426,999478,198514
126,ADDRESS,NYPD,New York City Police Department,5003520031,STATEN ISLAND,,,,STATEN ISLAND,2019-06-14T01:48:49.000,01 STATEN ISLAND,Noise - Commercial,2019-06-14T00:48:02.000,GREENLEAF AVENUE,DUBOIS AVENUE,Loud Talking,2019-06-14T08:48:02.000,Precinct,1144 FOREST AVENUE,10310,,,,40.626710990012654,"{'type': 'Point', 'coordinates': [-74.127910117377, 40.626710990013]}",Store/Commercial,-74.12791011737707,MOBILE,STATEN ISLAND,Unspecified,2019-06-14T01:48:49.000,The Police Department responded to the complaint and determined that police action was not necessary.,,Closed,FOREST AVENUE,,42961949,948744,167630
127,ADDRESS,NYPD,New York City Police Department,1008410020,MANHATTAN,,,,NEW YORK,,05 MANHATTAN,Blocked Driveway,2019-06-14T00:48:06.000,5 AVENUE,AVENUE OF THE AMERICAS,Partial Access,2019-06-14T08:48:06.000,Precinct,25 WEST 39 STREET,10018,,,,40.75202201938784,"{'type': 'Point', 'coordinates': [-73.983303524289, 40.752022019388]}",Street/Sidewalk,-73.9833035242886,PHONE,MANHATTAN,Unspecified,,"Your complaint has been forwarded to the New York Police Department for a non-emergency response. If the police determine the vehicle is illegally parked, they will ticket the vehicle and then you may either contact a private towing company to remove the vehicle or ask your local precinct to contact 'rotation tow'. Any fees charged for towing will have to be paid by the vehicle owner. 311 will have additional information in 8 hours. Please note your service request number for future reference.",,Open,WEST 39 STREET,,42964395,988876,213259
128,ADDRESS,NYPD,New York City Police Department,1014370049,MANHATTAN,,,,NEW YORK,,08 MANHATTAN,Noise - Vehicle,2019-06-14T00:48:07.000,EAST 62 STREET,EAST 63 STREET,Car/Truck Horn,2019-06-14T08:48:07.000,Precinct,1190 2 AVENUE,10065,,,,40.76282051213206,"{'type': 'Point', 'coordinates': [-73.962717431256, 40.762820512132]}",Street/Sidewalk,-73.96271743125608,MOBILE,MANHATTAN,Unspecified,2019-06-14T01:00:43.000,Your complaint has been received by the Police Department and additional information will be available later.,,Assigned,2 AVENUE,,42956584,994578,217195
129,BLOCKFACE,NYPD,New York City Police Department,,QUEENS,,,,ASTORIA,,01 QUEENS,Noise - Street/Sidewalk,2019-06-14T00:48:18.000,34 AVENUE,35 AVENUE,Loud Music/Party,2019-06-14T08:48:18.000,Precinct,24 STREET,11106,,,,,,Street/Sidewalk,,PHONE,QUEENS,Unspecified,,Your complaint has been forwarded to the New York Police Department for a non-emergency response. Your complaint will take priority over other non-emergency complaints. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,Open,24 STREET,,42960432,,
130,ADDRESS,NYPD,New York City Police Department,2056070152,BRONX,,,,BRONX,,10 BRONX,Blocked Driveway,2019-06-14T00:48:51.000,SCHURZ AVENUE,HARDING AVENUE,No Access,2019-06-14T08:48:51.000,Precinct,203 ROBINSON AVENUE,10465,,,,40.81309018925347,"{'type': 'Point', 'coordinates': [-73.825284669214, 40.813090189253]}",Street/Sidewalk,-73.82528466921357,PHONE,BRONX,Unspecified,2019-06-14T01:07:00.000,Your complaint has been received by the Police Department and additional information will be available later.,,Assigned,ROBINSON AVENUE,,42959010,1032613,235556
131,ADDRESS,NYPD,New York City Police Department,5003520032,STATEN ISLAND,,,,STATEN ISLAND,2019-06-14T01:48:49.000,01 STATEN ISLAND,Noise - Commercial,2019-06-14T00:49:41.000,GREENLEAF AVENUE,DUBOIS AVENUE,Loud Music/Party,2019-06-14T08:49:41.000,Precinct,1142 FOREST AVENUE,10310,,,,40.626719288486505,"{'type': 'Point', 'coordinates': [-74.127852493345, 40.626719288487]}",Store/Commercial,-74.12785249334458,MOBILE,STATEN ISLAND,Unspecified,2019-06-14T01:48:49.000,The Police Department responded to the complaint and determined that police action was not necessary.,,Closed,FOREST AVENUE,,42963268,948760,167633
132,ADDRESS,NYPD,New York City Police Department,1014370049,MANHATTAN,,,,NEW YORK,,08 MANHATTAN,Noise - Vehicle,2019-06-14T00:50:06.000,EAST 62 STREET,EAST 63 STREET,Car/Truck Horn,2019-06-14T08:50:06.000,Precinct,1190 2 AVENUE,10065,,,,40.76282051213206,"{'type': 'Point', 'coordinates': [-73.962717431256, 40.762820512132]}",Street/Sidewalk,-73.96271743125608,MOBILE,MANHATTAN,Unspecified,2019-06-14T01:00:44.000,Your complaint has been received by the Police Department and additional information will be available later.,,Assigned,2 AVENUE,,42963083,994578,217195
133,ADDRESS,NYPD,New York City Police Department,1021650059,MANHATTAN,,,,NEW YORK,,12 MANHATTAN,Noise - Street/Sidewalk,2019-06-14T00:50:39.000,ST NICHOLAS AVENUE,WADSWORTH AVENUE,Loud Music/Party,2019-06-14T08:50:39.000,Precinct,612 WEST 184 STREET,10033,,,,40.85128319343927,"{'type': 'Point', 'coordinates': [-73.932897546959, 40.851283193439]}",Street/Sidewalk,-73.9328975469595,MOBILE,MANHATTAN,Unspecified,2019-06-14T01:54:57.000,Your complaint has been received by the Police Department and additional information will be available later.,,Assigned,WEST 184 STREET,,42960425,1002814,249430
